filename,x,y,cluster
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_preset-Camara_Amacayacu-1_crop0.npy",65.90769,38.037685,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_preset-Camara_Amacayacu-2_crop0.npy",77.47647,46.733826,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_preset-Camara_Amacayacu-2_crop0.npy",73.30041,46.5806,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_preset-Camara_Amacayacu-3_crop0.npy",77.053116,38.682877,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_preset-Camara_Amacayacu-3_crop0.npy",65.9082,38.03795,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_116-Camara_Amacayacu-8_crop0.npy",76.540985,-29.51901,5
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_preset-Camara_Amacayacu-0_crop1.npy",65.78184,39.74131,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_preset-Camara_Amacayacu-4_crop0.npy",77.47647,46.733826,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_preset-Camara_Amacayacu-5_crop0.npy",77.053116,38.682877,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 122,124 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_124-Camara_Amacayacu-7_crop0.npy",-19.674276,-53.914204,9
